电信福建,#genre#
厦门新闻,rtsp://27.148.240.185/PLTV/88888888/224/3221226288/10000100000000060000000001158541_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EXPp59SfTMKZZKqhxHm6KIw%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745034%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA#rtsp://27.148.240.189/PLTV/88888888/224/3221227122/66931161.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EQz19ET3hU-M9sasRcYVmxg%7EPP035ej_ErOiuBQGbTcTbsVCzWtl0f3igiwZvLC_mQYwiDquPDWaY80F_LWFUEowQg9jTsIz3sONKUg3ohm7po1U__txexXnfmbnrZA_evE%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20220602115923%2C2083064%2C120.41.22.107%2C20220602115923%2CUmai%3ACHAN%2F5884077%40BESTV.STA.SMG%2C208306420220602115923%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2Oyw6CMBBF_6bLRiivTVcYExNTF6BbM7YDEgaoLZj490JlNzPnnsydHWg8H-W4EDGPbzXJmGkg6sZWTWZD96p8xDmPkoLHieAiY_UmnQhaeQhZtQxPdPuyihW6T6dRGt9wS_BdHHFvuzDfHO2YYb0_j7I0iTKRp3FaCDZv1xp8vxL2Al9OgwWH5jK1QZANkEdmQffQooIB_-2Dd3VmbfIDXQVKHNYAAAA#http://106.53.99.30/dl/xmtv.php?id=xm1#http://117.27.190.42:9998/tsfile/live/23293_1.m3u8#rtsp://27.148.236.129:554/live/ch18021018582713742946.sdp?FccMediaIP=239.61.2.213&FccMediaPort=9266&vcdnid=001&mediaid=ch18021018582713742946&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPehDw%2Bj01CdKv49zFrmHTNlvA%2FnSZgyq1w%2FIXYMa4awIy0d8RtgP2DayASZlOpMLMaA%3D%3D
厦门新闻,http://117.30.58.212:8888/rtp/239.61.3.55:9848#http://27.154.214.56:8888/rtp/239.61.3.55:9848#https://xiamencncc.v.wscdns.com/clwjf/lhxmt1_1/index.m3u8
厦门海峡,http://106.53.99.30/dl/xmtv.php?id=xm2#rtsp://27.148.240.185/PLTV/88888888/224/3221227183/66927922.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EEzoeUmrD-7J4AVftgD-jaw%7EPP035ej_ErOiuBQGbTcTbsVCzWtl0f3igiwZvLC_mQYwiDquPDWaY80F_LWFUEowQg9jTsIz3sONKUg3ohm7po1U__txexXnfmbnrZA_evE%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20220602115923%2C2083064%2C120.41.22.107%2C20220602115923%2CUmai%3ACHAN%2F5884079%40BESTV.STA.SMG%2C208306420220602115923%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2Oyw6CMBBF_6bLRiivTVcYExNTF6BbM7YDEgaoLZj490JlNzPnnsydHWg8H-W4EDGPbzXJmGkg6sZWTWZD96p8xDmPkoLHieAiY_UmnQhaeQhZtQxPdPuyihW6T6dRGt9wS_BdHHFvuzDfHO2YYb0_j7I0iTKRp3FaCDZv1xp8vxL2Al9OgwWH5jK1QZANkEdmQffQooIB_-2Dd3VmbfIDXQVKHNYAAAA#rtsp://27.148.240.189/PLTV/88888888/224/3221227183/66927922.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EEzoeUmrD-7J4AVftgD-jaw%7EPP035ej_ErOiuBQGbTcTbsVCzWtl0f3igiwZvLC_mQYwiDquPDWaY80F_LWFUEowQg9jTsIz3sONKUg3ohm7po1U__txexXnfmbnrZA_evE%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20220602115923%2C2083064%2C120.41.22.107%2C20220602115923%2CUmai%3ACHAN%2F5884079%40BESTV.STA.SMG%2C208306420220602115923%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2Oyw6CMBBF_6bLRiivTVcYExNTF6BbM7YDEgaoLZj490JlNzPnnsydHWg8H-W4EDGPbzXJmGkg6sZWTWZD96p8xDmPkoLHieAiY_UmnQhaeQhZtQxPdPuyihW6T6dRGt9wS_BdHHFvuzDfHO2YYb0_j7I0iTKRp3FaCDZv1xp8vxL2Al9OgwWH5jK1QZANkEdmQffQooIB_-2Dd3VmbfIDXQVKHNYAAAA#rtsp://27.148.240.181/PLTV/88888888/224/3221227183/66927922.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EEzoeUmrD-7J4AVftgD-jaw%7EPP035ej_ErOiuBQGbTcTbsVCzWtl0f3igiwZvLC_mQYwiDquPDWaY80F_LWFUEowQg9jTsIz3sONKUg3ohm7po1U__txexXnfmbnrZA_evE%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20220602115923%2C2083064%2C120.41.22.107%2C20220602115923%2CUmai%3ACHAN%2F5884079%40BESTV.STA.SMG%2C208306420220602115923%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2Oyw6CMBBF_6bLRiivTVcYExNTF6BbM7YDEgaoLZj490JlNzPnnsydHWg8H-W4EDGPbzXJmGkg6sZWTWZD96p8xDmPkoLHieAiY_UmnQhaeQhZtQxPdPuyihW6T6dRGt9wS_BdHHFvuzDfHO2YYb0_j7I0iTKRp3FaCDZv1xp8vxL2Al9OgwWH5jK1QZANkEdmQffQooIB_-2Dd3VmbfIDXQVKHNYAAAA#http://117.27.190.42:9998/tsfile/live/23294_1.m3u8#http://117.30.58.212:8888/rtp/239.61.3.56:9854#http://27.154.214.56:8888/rtp/239.61.3.56:9854#https://xiamenalic.v.myalicdn.com/xiamen/xiamen2_1/index.m3u8
厦门卫视,rtsp://27.148.240.185/PLTV/88888888/224/3221225688/10000100000000060000000000417452_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EOMdcM9Qk7z6JO5x8xbWkiA%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F1398252%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
厦门卫视,rtsp://27.148.240.181/PLTV/88888888/224/3221225688/10000100000000060000000000417452_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EOMdcM9Qk7z6JO5x8xbWkiA%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F1398252%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
厦门卫视,http://8.138.90.107/公众号睡眼迷离的猫/JSYD.php?p=gitv&id=G_XIAMEN&ace
厦门卫视,http://106.53.99.30/dl/xmtv.php?id=xmws#http://dassby.qqff.top:99/live/厦门卫视/index.m3u8
厦门卫视,http://27.148.240.138/PLTV/88888888/224/3221226744/1.m3u8#http://117.27.190.42:9998/tsfile/live/23282_1.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226744/ 1.m3u8#rtsp://27.148.236.129:554/live/ch15102712173616484873.sdp?FccMediaIP=239.61.2.11&FccMediaPort=8060&vcdnid=001&mediaid=ch15102712173616484873&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPeko3tWsvOv248dIv91CLPotAOikaWM9AhRvpd4b2BhPU0d8RtgP2DayASZlOpMLMaA%3D%3D
厦门卫视高清,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8#https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8
厦门移动,http://106.53.99.30/dl/xmtv.php?id=xmyd
漳州新闻,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8#rtsp://27.148.240.185/PLTV/88888888/224/3221226280/10000100000000060000000001158525_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EDpAMcwSplNopC9npK74QGQ%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745025%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA#http://117.27.190.42:9998/tsfile/live/23303_1.m3u8#rtsp://27.148.236.129:554/live/ch18021018563878531243.sdp?FccMediaIP=239.61.2.164&FccMediaPort=8972&vcdnid=001&mediaid=ch18021018563878531243&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPehDw%2Bj01CdKv49zFrmHTNlvblJC1TmxwhkR1NEJ71MPp0d8RtgP2DayASZlOpMLMaA%3D%3D
泉州新闻,rtmp://live.qztv.cn/live/news
泉州新闻,rtsp://27.148.240.185/PLTV/88888888/224/3221226286/10000100000000060000000001158539_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EDeSZdPWCVmNDEpJLYoXmng%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3731531%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA#http://117.27.190.42:9998/tsfile/live/23300_1.m3u8#rtsp://27.148.236.129:554/live/ch18020116435220856291.sdp?FccMediaIP=239.61.2.193&FccMediaPort=9146&vcdnid=001&mediaid=ch18020116435220856291&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPelqfUAeIIXbrvi9JscuBg0qICbnZEg5mIhzAT2fel%2FPI0d8RtgP2DayASZlOpMLMaA%3D%3D
泉州闽南语,rtmp://live.qztv.cn/live/mny
三明新闻,http://live5.setvn.com:9099/live/sm1_1200.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=22&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=%2BZe36XJ7YDDWPAcHDiI3qg%3D%3D&r=20250206015231&e=20250207015231&nc=RG2XElFFNdaQ&a=7&hlsSessionID=10821025700562780509&srchost=www.fjgd.com&gid=1D%2F0rKRaezLwqOzqmqrUbA%3D%3D#http://fjnhdb.chinashadt.com:2036/live/stream:nh2.stream/playlist.m3u8#rtsp://27.148.240.185/PLTV/88888888/224/3221226282/10000100000000060000000001158528_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E3-MvJKUJ-qKjIlNwZw8BKg%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745022%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA#http://117.27.190.42:9998/tsfile/live/23298_1.m3u8#rtsp://27.148.236.129:554/live/ch18021018570726044306.sdp?FccMediaIP=239.61.2.208&FccMediaPort=9236&vcdnid=001&mediaid=ch18021018570726044306&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPehDw%2Bj01CdKv49zFrmHTNlujlQ%2BZpJL39Eed9oTkt5%2Bc0d8RtgP2DayASZlOpMLMaA%3D%3D
三明新闻,http://stream.smntv.cn/smtv1/sd/live.m3u8#http://stream.smntv.cn/smtv2/sd/live.m3u8
莆田新闻,http://live1.setvn.com:9094/live/ptian1_1200.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=18&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=LLQYjVFb%2Fu5Yjci3BzgqLQ%3D%3D&r=20250206015154&e=20250207015154&nc=0dvbyCk9DVMh&a=7&hlsSessionID=10821025700562780471&srchost=www.fjgd.com&gid=jtNyO5Ci8g5ZzkrIUHPlGw%3D%3D#http://106.53.99.30/dl/ptbtv.php?id=4#rtsp://27.148.240.185/PLTV/88888888/224/3221226283/10000100000000060000000001158529_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EcPGKUwpyP19nnDnm7mxcVg%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745024%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
#http://117.27.190.42:9998/tsfile/live/23302_1.m3u8#rtsp://27.148.236.129:554/live/ch18021018571856751097.sdp?FccMediaIP=239.61.2.209&FccMediaPort=9242&vcdnid=001&mediaid=ch18021018571856751097&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPehDw%2Bj01CdKv49zFrmHTNlvrITCA6u%2B4ukJCdz2gyqef0d8RtgP2DayASZlOpMLMaA%3D%3D
莆田公共,http://live3.setvn.com:9098/live/ptian2hd_2000.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=80&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=yRvjGH11pHueOoBzyTtCaA%3D%3D&r=20250206015205&e=20250207015205&nc=KlcjJAMxRFDt&a=7&hlsSessionID=10821025700562780481&srchost=www.fjgd.com&gid=ECiuqbaOwt6RX1QauGnspQ%3D%3D#http://106.53.99.30/dl/ptbtv.php?id=5
莆田仙游,http://106.53.99.30/dl/ptbtv.php?id=6
南平新闻,http://live4.setvn.com:9097/live/np1_1200.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=16&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=jHitNJ9f33QnQAdvnBPsCw%3D%3D&r=20250206015313&e=20250207015313&nc=YVskeTvxjVQN&a=7&hlsSessionID=10821025700562780548&srchost=www.fjgd.com&gid=zel9oFSlWOWnPAasd5bx3A%3D%3D#rtsp://27.148.240.185/PLTV/88888888/224/3221226281/10000100000000060000000001158526_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EXGZnTiftrADvyuX9dBzesg%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745020%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
南平新闻,http://117.27.190.42:9998/tsfile/live/23303_1.m3u8#http://117.27.190.42:9998/tsfile/live/23295_1.m3u8#rtsp://27.148.236.129:554/live/ch18021018565597819147.sdp?FccMediaIP=239.61.2.207&FccMediaPort=9230&vcdnid=001&mediaid=ch18021018565597819147&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPehDw%2Bj01CdKv49zFrmHTNlvSZMWkJNxH2RmmWBmxwvnn0d8RtgP2DayASZlOpMLMaA%3D%3D
龙岩新闻,http://live3.setvn.com:9098/live/ly1_1200.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=14&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=u0%2BlpneFWJ3dO0qesJjiJA%3D%3D&r=20250206015217&e=20250207015217&nc=Mld3koYljqdt&a=7&hlsSessionID=10821025700562780498&srchost=www.fjgd.com&gid=RDUcJqpMz5zo89Q3I8th2Q%3D%3D#rtsp://27.148.240.185/PLTV/88888888/224/3221226284/10000100000000060000000001158537_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EraRCYJ_wBt2awxoLjZ8q5Q%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745032%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA#http://117.27.190.42:9998/tsfile/live/23297_1.m3u8#rtsp://27.148.236.129:554/live/ch18021018573041536970.sdp?FccMediaIP=239.61.2.210&FccMediaPort=9248&vcdnid=001&mediaid=ch18021018573041536970&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPehDw%2Bj01CdKv49zFrmHTNlvdgc%2FygSvadb3oSj%2FynB8B0d8RtgP2DayASZlOpMLMaA%3D%3D
宁德新闻,http://live3.setvn.com:9098/live/nd1_1200.m3u8?ptype=6&plocation=null&puser=freeuser&ptoken=bf69e51db2fbaaaa&ot=0&d=bf69e51db2fbaaaa&l=null&pid=&cid=12&v=2&u=freeuser&t=bf69e51db2fbaaaa&p=6&sid=bYL%2BMGNk5INvxl5HgsT4Jg%3D%3D&r=20250206015245&e=20250207015245&nc=ZB29aqZznrdj&a=7&hlsSessionID=10821025700562780525&srchost=www.fjgd.com&gid=jPYvX3ivLIPptMI9Q%2FAXvw%3D%3D#rtsp://27.148.240.185/PLTV/88888888/224/3221226285/10000100000000060000000001158538_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E7E4-pxJ1Z2R5Jy-AmJKfng%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2CUmai%3ACHAN%2F3745033%40BESTV.STA.SMG%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA#http://117.27.190.42:9998/tsfile/live/23296_1.m3u8#rtsp://27.148.236.129:554/live/ch18021018574362353141.sdp?FccMediaIP=239.61.2.211&FccMediaPort=9254&vcdnid=001&mediaid=ch18021018574362353141&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPehDw%2Bj01CdKv49zFrmHTNlt6bOO6AvKYI82Ou%2FPiW8d90d8RtgP2DayASZlOpMLMaA%3D%3D
漳州漳浦综合,http://220.161.87.62:8800/hls/0/index.m3u8#rtmp://xmt.zptv.com.cn:1935/live/0
漳州漳浦电台,http://220.161.87.62:8800/hls/1/index.m3u8
漳州云霄新闻,http://live.zzyxxw.com:85/live/xwzh.m3u8
龙岩新罗1套,http://stream.lyxltv.com/xltv/sd/live.m3u8
龙岩新罗2套,http://stream.lyxltv.com/xinluotv/sd/live.m3u8
三明宁化新闻,http://fjnhdb.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8#http://fjnh.chinashadt.com:2036/live/stream:nh1.stream/chunklist_w422319009.m3u8
南平武夷山综合,http://fjwysdb.chinashadt.com:2036/live/1.stream/playlist.m3u8
